"## Filename : qalingo-email-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : email",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Email Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"common","warning_text","Note: <br /> We draw your attention to the fact that many anti-spam products are considered the letter from the Hoteia as spam. If this is the case, check the contents of your spam folder regularly. If our mail is there, click on the ""IS NOT A SPAM"" to be at your disposal.","Remarque : <br />Nous attirons votre attention sur le fait que de nombreux produits anti-spam peuvent consid&eacute;rer le courrier venant d&#39;Hoteia comme du spam. Si tel est le cas, v&eacute;rifier le contenu de votre dossier spam r&eacute;guli&egrave;rement. Si notre courrier s&#39;y trouve, cliquer sur la fonction ""N&#39;EST PAS UN SPAM"" qui doit &ecirc;tre mise &agrave; votre disposition.","Hinweis: <br /> Wir weisen Sie darauf hin, dass viele Anti-Spam-Produkte werden als das Schreiben des Hoteia als Spam Wenn dies der Fall ist, prüfen Sie den Inhalt Ihres Spam-Ordner regelmäßig Wenn Sie unsere Post ist da, .. klicken Sie auf ""iST KEIN SPAM"", um zu Ihrer Verfügung.","Nota: <br /> Queremos llamar su atención sobre el hecho de que muchos productos anti-spam se consideran la carta del Hoteia como spam Si este es el caso, comprobar el contenido de la carpeta de spam habitualmente Si nuestro correo está allí, .. haga clic en el ""NO eS UN SPAM"" para estar a su disposición.","Nota: <br /> Richiamiamo la vostra attenzione sul fatto che molti prodotti anti-spam sono considerati la lettera del Hoteia come spam Se questo è il caso, verificare il contenuto della cartella spam regolarmente Se la nostra posta è lì, .. cliccare sul ""non è un SPAM"" di essere a vostra disposizione.","Opmerking: <br /> Wij vestigen uw aandacht op het feit dat veel anti-spam producten worden beschouwd als de brief van de Hoteia als spam Als dit het geval is, controleer de inhoud van uw spamfolder regelmatig Indien onze mail is daar, .. klik op de ""iS GEEN sPAM"" te zijn tot uw beschikking.","Nota: <br /> Nós chamar a atenção para o fato de que muitos produtos anti-spam são considerados a carta do Hoteia como spam Se este for o caso, verifique o conteúdo da sua pasta de spam regularmente Se nosso e-mail está lá, .. clique no ""não é um SPAM"" para ser a sua disposição.","注：<br/>私たちは、このような場合は、多くのアンチスパム製品はスパムとしてHoteiaからの手紙と考えられている私たちのメールがある場合は、定期的にスパムフォルダの内容をチェックするという事実に注意を引く..あなたの処分であることが「スパムでない」をクリックしてください。","注意事项：<br/>我们提请您注意的事实，许多反垃圾邮件产品的垃圾邮件Hoteia作为函件。如果是这样的情况，定期检查您的垃圾邮件文件夹中的内容。如果有我们的邮件，点击“不是垃圾”，“在您的处置。","注意事項：<br/>我們提請您注意的事實，許多反垃圾郵件產品的垃圾郵件Hoteia作為函件。如果是這樣的情況，定期檢查您的垃圾郵件文件夾中的內容。如果有我們的郵件，點擊“不是垃圾”，“在您的處置。","注意事項：<br/>我們提請您注意的事實，許多反垃圾郵件產品的垃圾郵件Hoteia作為函件。如果是這樣的情況，定期檢查您的垃圾郵件文件夾中的內容。如果有我們的郵件，點擊“不是垃圾”，“在您的處置。","注意事項：：<br/>我們提請您注意的事實，許多反垃圾郵件產品的垃圾郵件Hoteia作為函件。如果是這樣的情況，定期檢查您的垃圾郵件文件夾中的內容。如果有我們的郵件，點擊“不是垃圾”，“在您的處置。","Lưu ý: <br /> Chúng tôi xin lưu ý đến các bạn là hiện nay có một số chương trình anti-spam sẽ nhầm lẫn thư từ Hoteia là tin rác. Trong trường hợp đó, xin hãy thường xuyên kiểm tra mục ""tin rác"" . Nếu có mail của chúng tôi, hãy nhấn chọn ""KHÔNG PHẢI TIN RÁC"".","Примечание: <br /> Обращаем Ваше внимание на то, что многие продукты анти-спам считаются письмо от Hoteia как спам. Если это так, проверьте содержимое папки спама. Если наша почта там, нажмите на ""не спам"", чтобы быть в вашем распоряжении.","Nota: <br /> Volem cridar la seva atenció sobre el fet que molts productes anti-spam són considerats i eacute; rer de correu Hoteia d'spam. Si aquest és el cas, V & eacute; Comproveu el contingut de tornar del seu correu no desitjat carpeta Re; guli & egrave; ment. Si el nostre correu està allà, feu clic al ""NO ÉS UN SPAM"" funció per ecirc i, i es va posar s'agreugi; disponible.","Oharra: <br /> zure atentzioa Izan ere, anti-spam produktu asko hartzen diren & eacute da; Zaborretik Hoteia mail RER. Hau da, kasu, v & eacute ezkero; Check itzuli zure spam karpetan r é edukia; guli & egrave; moduan. Gure mail dago bada, ""ez da spam A"" funtzioa gainean klik ecirc to &; & agrave dira jarri; eskuragarri."
,,,,,,,,,,,,,,,,,
"common","footer_url","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com","http://www.qalingo.com"
,,,,,,,,,,,,,,,,,
"## -- Contact --",,,,,,,,,,,,,,,,,
"contact","email_subject","Contact : message from {0} {1}","Contact : message from {0} {1}","Kontakt: Nachricht von {0} {1}","Contacto: mensaje de {0} {1}","Contatto: messaggio da {0} {1}","Contact: bericht van {0} {1}","Contato: mensagem de {0} {1}","お問い合わせ：からのメッセージ{0}{1}","联系人：消息来自{0} {1}","聯繫人：消息來自{0} {1}","聯繫人：消息來自{0} {1}","聯繫人：消息來自{0} {1}","Liên hệ : nhận được tin nhắn từ {0} {1}","Контактная информация: сообщение от {0} {1}","Contacte: missatge de {0} {1}","Harremanetarako: Mezu batetik {0} {1}"
,,,,,,,,,,,,,,,,,
"contact","html_title","Message from {0} {1} - {2}","Message from {0} {1} - {2}","Nachricht von {0} {1} - {2}","Mensaje del {0} {1} - {2}","Messaggio da {0} {1} - {2}","Bericht van {0} {1} - {2}","Mensagem do {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","Nhận được tin nhắn từ {0} {1} - {2}","Сообщение от {0} {1} - {2}","Missatge del {0} {1} - {2}","Mezua {0} {1} - {2}"
"contact","intro","A new message from the contact form:","Un nouveau message depuis le formulaire de contact :","Eine neue Nachricht von der Kontakt-Formular:","Un nuevo mensaje desde el formulario de contacto:","Un nuovo messaggio dal modulo di contatto:","Een nieuw bericht van het contact formulier:","Uma nova mensagem do formulário de contato:","コンタクトフォームからの新しいメッセージ：","一个新的消息来自联系人表单,","一個新的消息來自聯繫人表單,","一個新的消息來自聯繫人表單,","一個新的消息來自聯繫人表單,","Nhận được tin nhắn từ liên hệ,","Новое сообщение от контактной форме:","Un nou missatge des del formulari de contacte:","Harremanetarako formularioa mezu berri bat:"
"contact","from","From","De","von","desde","da","uit","a partir de","から","从","從","從","從","Từ","от","Des","Aurrera"
"contact","phone","Phone","Téléphone","Telefon","teléfono","telefono","telefoon","telefone","電話","电话","電話","電話","電話","Số điện thoại","телефон","Telèfon","Telefonoa"
"contact","fax","Fax","Fax","Fax","fax","fax","fax","fax","ファックス","传真","傳真","傳真","傳真","Fax","факс","Fax","Fax"
"contact","mobile","Mobile","Mobile","Handy","móvil","mobile","mobiel","móvel","モバイル","手机","手機","手機","手機","Số di động","мобильный","Mòbil","Mugikorra"
"contact","website","Website","Website","Webseite","sitio web","sito web ","website","site","ウェブサイト","网站","網站","網站","網站","Website","сайт","Lloc web","Web"
"contact","email","Email","Email","E-Mail","Correo electrónico","Email","e-mail ","Email","メール","电子邮箱","電子郵箱","電子郵箱","電子郵箱","Email","Email","Correu electrònic","E-mail"
"contact","subject","Subject","sujet","Gegenstand","sujeto","soggetto ","onderwerp","assunto","件名","主题","主題","主題","主題","Chủ đề","тема","tema","Gai"
"contact","message","Message","Message","Nachricht","mensaje","messaggio","bericht","mensagem","メッセージ","信息","信息","信息","信息","Tin nhắn","сообщение","Missatge","Mezua"
,,,,,,,,,,,,,,,,,
"## -- Retailer Contact --",,,,,,,,,,,,,,,,,
"retailer_contact","email_subject","Contact : message from {0} {1}","Contact : message from {0} {1}","Kontakt: Nachricht von {0} {1}","Contacto: mensaje de {0} {1}","Contatto: messaggio da {0} {1}","Contact: bericht van {0} {1}","Contato: mensagem de {0} {1}","お問い合わせ：からのメッセージ{0}{1}","联系人：消息来自{0} {1}","聯繫人：消息來自{0} {1}","聯繫人：消息來自{0} {1}","聯繫人：消息來自{0} {1}","Liên hệ : Tin nhắn từ {0} {1}","Контактная информация: сообщение от {0} {1}","Contacte: missatge de {0} {1}","Harremanetarako: Mezu batetik {0} {1}"
,,,,,,,,,,,,,,,,,
"retailer_contact","html_title","Message from {0} {1} - {2}","Message from {0} {1} - {2}","Nachricht von {0} {1} - {2}","Mensaje del {0} {1} - {2}","Messaggio da {0} {1} - {2}","Bericht van {0} {1} - {2}","Mensagem do {0} {1} - {2}","消息来自 {0} {1} - {2}","Message from {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","消息来自 {0} {1} - {2}","Tin nhắn từ {0} {1} - {2}","Сообщение от {0} {1} - {2}","Missatge del {0} {1} - {2}","Mezua {0} {1} - {2}"
"retailer_contact","intro","A new message from the contact form:","Un nouveau message depuis le formulaire de contact :","Eine neue Nachricht von der Kontakt-Formular:","Un nuevo mensaje desde el formulario de contacto:","Un nuovo messaggio dal modulo di contatto:","Een nieuw bericht van het contact formulier:","Uma nova mensagem do formulário de contato:","コンタクトフォームからの新しいメッセージ：","Un nouveau message depuis le formulaire de contact,","一個新的消息來自聯繫人表單,","一個新的消息來自聯繫人表單,","一個新的消息來自聯繫人表單,","Có một tin nhắn mới từ liên hệ,","Новое сообщение от контактной форме:","Un nou missatge des del formulari de contacte:","Harremanetarako formularioa mezu berri bat:"
"retailer_contact","from","From","De","von","desde","da","uit","a partir de","から","从","從","從","從","Từ","от","Des","Aurrera"
"retailer_contact","phone","Phone","Téléphone","Telefon","teléfono","telefono","telefoon","telefone","電話","电话","電話","電話","電話","Số điện thoại","телефон","Telèfon","Telefonoa"
"retailer_contact","fax","Fax","Fax","Fax","fax","fax","fax","fax","ファックス","传真","傳真","傳真","傳真","Fax","факс","Fax","Fax"
"retailer_contact","mobile","Mobile","Mobile","Handy","móvil","mobile","mobiel","móvel","モバイル","手机","手機","手機","手機","Số di động","мобильный","Mòbil","Mugikorra"
"retailer_contact","website","Website","Website","Webseite","sitio web","sito web ","website","site","ウェブサイト","网站","網站","網站","網站","Website","сайт","Lloc web","Web"
"retailer_contact","email","Email","Email","E-Mail","Correo electrónico","Email","e-mail ","Email","メール","电子邮箱","電子郵箱","電子郵箱","電子郵箱","Email","Email","Correu electrònic","E-mail"
"retailer_contact","subject","Subject","sujet","Gegenstand","sujeto","soggetto ","onderwerp","assunto","件名","主题","主題","主題","主題","Chủ đề","тема","tema","Gai"
"retailer_contact","message","Message","Message","Nachricht","mensaje","messaggio","bericht","mensagem","メッセージ","信息","信息","信息","信息","Tin nhắn","сообщение","Missatge","Mezua"
,,,,,,,,,,,,,,,,,
"## -- Newsletter : subscription --",,,,,,,,,,,,,,,,,
"newsletter_subscription","email_subject","Newsletter subscription confirmation.","Newsletter, confirmation d&#39;abonnement.","Newsletter-Anmeldung Bestätigung.","Confirmación Suscripción newsletter.","Conferma Iscrizione newsletter.","Abonnement op de nieuwsbrief bevestiging.","Confirmação de inscrição Newsletter.","ニュースレターの購読の確認。","时事通讯订阅确认。","時事通訊訂閱確認。","時事通訊訂閱確認。","時事通訊訂閱確認。","Xác nhận đăng ký bản tin.","Подтверждение Подписка на новости.","Confirmació Subscripció newsletter.","Aldizkarirako harpidetza berrespena."
,,,,,,,,,,,,,,,,,
"newsletter_subscription","html_title","Newsletter subscription confirmation.","Newsletter, confirmation d&#39;abonnement.","Newsletter-Anmeldung Bestätigung.","Confirmación Suscripción newsletter.","Conferma Iscrizione newsletter.","Abonnement op de nieuwsbrief bevestiging.","Confirmação de inscrição Newsletter.","ニュースレターの購読の確認。","时事通讯订阅确认。","時事通訊訂閱確認。","時事通訊訂閱確認。","時事通訊訂閱確認。","Xác nhận đăng ký bản tin.","Подтверждение Подписка на новости.","Confirmació Subscripció newsletter.","Aldizkarirako harpidetza berrespena."
"newsletter_subscription","intro","Dear customer,","Cher(e) client(e), ","Sehr geehrter Kunde,","Estimado cliente,","Gentile cliente,","Geachte klant,","Prezado cliente,","親愛なる顧客、","Cher(e) 客户(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) client(e), ","Уважаемый клиент,","Cher (i) client (e)","Cher (e) bezeroa (e)"
"newsletter_subscription","validation.message","Your subscription for the newsletter is confirmed with this email : {0}","Votre abonnement à la newsletter est confirmé avec cette adresse email: {0}","Ihr Abonnement für den Newsletter wird mit dieser E-Mail bestätigt: {0}","Su suscripción al boletín se confirma con este correo electrónico: {0}","L&#39;abbonamento alla newsletter è confermata con questa email: {0}","Uw abonnement op de nieuwsbrief wordt bevestigd met deze e-mail: {0}","Sua inscrição para o boletim é confirmado com este e-mail: {0}","ニュースレターのためのあなたのサブスクリプションは、このメールで確認された：{0}","与此电子邮件确认您的订阅简讯：{0}","與此電子郵件確認您的訂閱簡訊：{0}","與此電子郵件確認您的訂閱簡訊：{0}","與此電子郵件確認您的訂閱簡訊：{0}","Email xác nhận việc đăng ký bản tin : {0}","Ваша подписка на рассылку подтверждается с этой электронной почты: {0}","La seva subscripció al butlletí s'ha confirmat amb l'adreça de correu electrònic: {0}","Zure buletina harpidetza dutela baieztatu du helbide elektronikoarekin: {0}"
"newsletter_subscription","account_modification_message","You can turn off newsletter  from the website or with this url:","Vous pouvez vous désinscrire de la newsletter à tous moments depuis cette url:","Sie können schalten Sie Newsletter aus dem Website oder mit diesem url:","Puede desactivar boletín informativo del sitio web o con esta url:","È possibile disattivare newsletter dal sito web o con questo URL:","U kunt uitschakelen nieuwsbrief keren van de website, of met deze url:","Você pode desativar o boletim informativo do site ou com este url:","あなたは、ウェブサイトから、またはこのURLでニュースレターをオフにすることができます。","您可以关闭资讯从这个网站或这个网址：","您可以關閉資訊從這個網站或這個網址：","您可以關閉資訊從這個網站或這個網址：","您可以關閉資訊從這個網站或這個網址：","Bạn có thể tắt chức năng nhận bản tin từ website hoặc nhấn vào đường dẫn này:","Вы можете отключить рассылку на сайте или этот адрес:","Vostè pot donar-se de baixa del butlletí de notícies en qualsevol moment des d'aquesta url:","Url hau edozein unetan buletinean harpidetza ezeztatzeko:"
,,,,,,,,,,,,,,,,,
"## -- Newsletter : unsubscription --",,,,,,,,,,,,,,,,,
"newsletter_unsubscription","email_subject","Newsletter unsubscription confirmation","Newsletter, confirmation de désabonnement.","Newsletter Abmeldung Bestätigung","Confirmación desuscripción Newsletter","Conferma disiscrizione Newsletter","Nieuwsbrief uitschrijven bevestiging","Confirmação de cancelamento Boletim informativo","ニュースレター登録解除の確認。","时事退订确认","時事退訂確認","時事退訂確認","時事退訂確認","Xác nhận không đăng ký bản tin","Рассылка подтверждение отписки","Newsletter, la confirmació de donar-se de baixa.","Buletina, agurtze berrespena."
,,,,,,,,,,,,,,,,,
"newsletter_unsubscription","html_title","Newsletter unsubscription confirmation.","Newsletter, confirmation de désabonnement.","Newsletter Abmeldung Bestätigung","Confirmación desuscripción Newsletter","Conferma disiscrizione Newsletter.","Nieuwsbrief afmelding bevestiging.","Confirmação de cancelamento Boletim informativo","ニュースレター登録解除の確認。","时事退订确认。","時事退訂確認。","時事退訂確認。","時事退訂確認。","Xác nhận không đăng ký bản tin","Рассылка подтверждение отписки.","Newsletter, la confirmació de donar-se de baixa.","Buletina, agurtze berrespena."
"newsletter_unsubscription","intro","Dear customer,","Cher(e) client(e), ","Sehr geehrter Kunde,","Estimado cliente,","Gentile cliente,","Geachte klant,","Prezado cliente,","親愛なる顧客、","Cher(e) 客户(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) client(e), ","Уважаемый клиент,","Cher (i) client (e)","Cher (e) bezeroa (e)"
"newsletter_unsubscription","validation.message","Your unsubscription for the newsletter is confirmed with this email : {0}","Votre désabonnement de la newsletter est confirmé avec pour cette adresse email: {0}","Your unsubscription for the newsletter is confirmed with this email : {0}","Su desuscripción en el boletín se confirma con este correo electrónico: {0}","Il tuo Cancellazione alla newsletter è confermata con questa email: {0}","Uw afmelding voor de nieuwsbrief wordt bevestigd met deze e-mail: {0}","O seu cancelamento no boletim informativo é confirmado com este e-mail: {0}","ニュースレターのための退会は、この電子メールで確認された：{0}","在这个电子邮件里确认您退订资讯：{0}","在這個電子郵件裡確認您退訂資訊：{0}","在這個電子郵件裡確認您退訂資訊：{0}","在這個電子郵件裡確認您退訂資訊：{0}","Email xác nhận việc không đăng ký bản tin : {0}","Ваше отписки на рассылку подтверждается с этой электронной почты: {0}","El teu donar-se de baixa del butlletí es va confirmar amb l'adreça de correu electrònic: {0}","Zure agurtze buletina helbide elektroniko batera baieztatu: {0}"
"newsletter_unsubscription","account_modification_message","You can turn on newsletter from the website with this url:","Vous pouvez activer la newsletter du site Web depuis cette url:","You can turn on newsletter from the website with this url:","Puede activar el boletín de noticias de la página web con esta url:","È possibile attivare newsletter dal sito con questo URL:","U kunt inschakelen nieuwsbrief van de website met deze url:","Você pode ligar boletim do site com este url:","あなたはこのURLをウェブサイトからのニュースレターをオンにすることができます：","您在这个网站可以打开资讯，从这个网址：","您在這個網站可以打開資訊，從這個網址：","您在這個網站可以打開資訊，從這個網址：","您在這個網站可以打開資訊，從這個網址：","Bạn có thể bật chức năng nhận bản tin từ website hoặc nhấn vào đường dẫn này:","Вы можете включить рассылку с сайта с этого URL:","També podeu utilitzar butlletí lloc web des d'aquesta URL:","Web gune url honetatik buletina gaitu dezakezu:"
,,,,,,,,,,,,,,,,,
"## -- Customer : new account --",,,,,,,,,,,,,,,,,
"new_account","email_subject","Customer new account confirmation.","Confirmation de votre création de compte.","Kunden neues Konto Bestätigung.","Nueva confirmación de cuenta del cliente.","Nuova conferma Account cliente.","Klant nieuwe bevestiging rekening.","Nova confirmação da conta do cliente.","カスタマー新しいアカウントの確認。","客户新帐户确认。","客戶新帳戶確認​​。","客戶新帳戶確認​​。","客戶新帳戶確認​​。","Khách hàng xác nhận đăng ký tài khoản mới.","Заказчик Очередным подтверждением счет.","La confirmació de la creació del compte.","Kontua sortzea baieztapena."
,,,,,,,,,,,,,,,,,
"new_account","html_title","Customer new account confirmation.","Confirmation de votre création de compte.","Kunden neues Konto Bestätigung.","Nueva confirmación de cuenta del cliente.","Nuova conferma Account cliente.","Klant nieuwe bevestiging rekening.","Nova confirmação da conta do cliente.","カスタマー新しいアカウントの確認。","客户新帐户确认。","客戶新帳戶確認​​。","客戶新帳戶確認​​。","客戶新帳戶確認​​。","Khách hàng xác nhận đăng ký tài khoản mới.","Заказчик Очередным подтверждением счет.","La confirmació de la creació del compte.","Kontua sortzea baieztapena."
"new_account","intro","Dear customer,","Chèr(e) client(e), ","Sehr geehrter Kunde,","Estimado cliente,","Gentile cliente,","Geachte klant,","Prezado cliente,","親愛なる顧客、","Cher(e) 客户(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) 客戶(e), ","Cher(e) client(e), ","Уважаемый клиент,","Benvolgut (i) client (e)","Maitea (e) bezeroa (e)"
"new_account","validation_message","Your account has been created on our website.","Votre compte a bien été créé sur notre site internet.","Ihr Konto ist auf unserer Website erstellt.","Su cuenta ha sido creada en nuestro sitio web.","Il tuo account è stato creato sul nostro sito web.","Uw account is aangemaakt op onze website.","Sua conta foi criada em nosso site.","あなたのアカウントは、当社のウェブサイト上で作成されました。","您的帐户已在我们的网站上创建。","您的帳戶已在我們的網站上創建。","您的帳戶已在我們的網站上創建。","您的帳戶已在我們的網站上創建。","Tài khoản của bạn đã được tạo.","Ваша учетная запись была создана на нашем сайте.","El seu compte ha estat creat en el nostre lloc web.","Kontua behin gure web orrian sortu."
"new_account","account_validation_message","Now you have to validate it from this URL:","Il ne vous reste plus qu&#39;à le valider depuis cette URL :","Jetzt müssen Sie es von dieser URL zu validieren:","Ahora tienes que validarlo desde esta dirección:","Ora dovete validare da questo URL:","Nu moet je het valideren van deze URL:","Agora você tem que validá-lo a partir desta URL:","今、あなたはこのURLからそれを検証する必要があります。","将只是验证这个网址：","將只是驗證這個網址：","將只是驗證這個網址：","將只是驗證這個網址：","Đường dẫn để xác nhận:","Теперь вы должны проверить его из этого URL:","Ara has de validar des d'aquesta adreça:","Orain balioztatzeko URL honetatik dituzu:"
"new_account","account_modification_message","You can change your personal information from this URL:","Vous pouvez modifier vos informations personnelles depuis cette URL :","Sie können Ihre persönlichen Informationen von dieser URL zu ändern:","Usted puede cambiar su información personal de esta dirección:","È possibile modificare le informazioni personali da questo URL:","U kunt uw persoonlijke gegevens uit deze URL te wijzigen:","Você pode alterar suas informações pessoais a partir deste URL:","は、次のURLから個人情報を変更することができます。","您可以更改您的个人信息，从这个URL：","您可以更改您的個人信息，從這個網址：","您可以更改您的個人信息，從這個網址：","您可以更改您的個人信息，從這個網址：","Đường dẫn thay đổi thông tin cá nhân :","Вы можете изменить вашу личную информацию с данного адреса:","Vostè pot canviar la seva informació personal d'aquesta adreça:","URL honetatik zure informazio pertsonala alda dezakezu:"
,,,,,,,,,,,,,,,,,
"## -- Customer : forgotten password --",,,,,,,,,,,,,,,,,
"forgotten_password","email.subject","Redefining the password of your account {0}","Redéfinition du mot de passe de votre compte.","Redefining das Passwort Ihres Kontos {0}","Redefiniendo la contraseña de su cuenta {0}","Ridefinire la password del vostro account {0}","Herdefiniëren van het wachtwoord van uw account {0}","Redefinindo a senha da sua conta {0}","あなたのアカウントのパスワードを再定義{0}","重新定义您的帐户密码","重新定義您的帳戶密碼","重新定義您的帳戶密碼","重新定義您的帳戶密碼","Xác nhận lại mật khẩu tài khoản của bạn","Переосмысление пароль вашей учетной записи {0}","Redefinint la contrasenya del seu compte.","Zure kontua pasahitza berriro definitzea."
,,,,,,,,,,,,,,,,,
